award_id,player_id,award_name,league,award_date
1,p19068,Best opposite,French Ligue B,2017
2,p59784,Best setter,Icelandic League,2022
3,p56840,Best setter,NEVZA U17,2021
4,p464,Best setter,Finnish Lentopallon Mestaruusliiga,2017
5,p78692,Best outside hitter,Balkan Championships U18,2022
6,p464,Best setter,Finnish Lentopallon Mestaruusliiga,2015
7,p464,Best setter,German Bundesliga,2002
8,p40744,Best setter,UAAP,2011
9,p88454,Best outside hitter,Kurowashiki Tournament,1995
10,p24457,Best spiker,Finnish Cup,2019
11,p40744,Best server,UAAP,2010
12,p24457,Best outside hitter,Finnish Cup,2019
13,p24457,Best outside hitter,Finnish Cup,2018
14,p937,Best spiker,The Olympics,2008
15,p40744,Best setter,UAAP,2010
16,p88454,MVP,Kurowashiki Tournament,1992
17,p937,Best server,The Olympic Qualification,2008
18,p3183,Best blocker,Challenger Cup,2022
19,p937,MVP,Hubert Wagner Memorial,2006
20,p38029,Best server,Thailand League,2020
21,p30688,Best outside hitter,Asian Cup,2014
22,p33233,Best scorer,Slovenian League,2021
23,p33233,Best server,Slovenian League,2021
24,p67575,MVP,Indonesian Proliga,2007
25,p3183,Best blocker,Türkiye Erkekler Voleybol Ligi,2021
26,p937,MVP,Trofeo TIM,2004
27,p11704,Best outside hitter,Czech Extraliga,2021
28,p28326,MVP,Puerto Rican League,2003
29,p11704,Best receiver,European Championships,2021
30,p4569,Best middle-blocker,Central American and Caribbean Games,2014
31,p3183,Best middle-blocker,Türkiye Erkekler Voleybol Ligi,2021
32,p766,Best scorer,Korean V-League,2018
33,p766,Best spiker,Korean V-League,2018
34,p766,Best outside hitter,Korean V-League,2017
35,p766,Best outside hitter,Korean V-League,2016
36,p766,Best scorer,Korean V-League,2016
37,p313,MVP,Argentinian Liga A1,2018
38,p313,Best setter,Copa Libertadores,2018
39,p313,Best setter,NORCECA Championships,2009
40,p313,Best setter,NORCECA Championship U21,2006
41,p3183,Best blocker,Challenge Cup,2020
42,p3183,Best middle-blocker,Türkiye Erkekler Voleybol Ligi,2016
43,p41334,Best scorer,Asian Club Championship,2010
44,p3183,Best blocker,Türkiye Erkekler Voleybol Ligi,2016
45,p1813,Best receiver,European Championships,1995
46,p3183,Best middle-blocker,World Championships U23,2015
47,p80789,MVP,Asian Championships,1979
48,p1813,Best spiker,World Championships,1994
49,p80789,Best middle-blocker,World Cup,1977
50,p59847,Best outside hitter,Spanish Superliga,2011
51,p1813,Best server,The Olympics,1992
52,p34312,Best libero,NEVZA U17,2019
53,p1813,Best server,World League,1991
54,p110852,Best digger,UAAP,2007
55,p31706,Best setter,Baltic League,2011
56,p1813,Best spiker,World League,1991
57,p30555,Best libero,Albanian Cup,2021
58,p1813,Best spiker,World Championships,1990
59,p178,Best opposite,South American Club Championship,2021
60,p1813,Best spiker,World League,1990
61,p1813,Best server,The Olympics,1988
62,p178,Best opposite,Brazilian Cup,2021
63,p33212,Best middle-blocker,NEVZA U17,2017
64,p178,Best opposite,Paulista Championship,2020
65,p178,MVP,Paulista Championship,2020
66,p30555,Best receiver,Albanian Cup,2021
67,p181,Best receiver,French Ligue A,2016
68,p313,Best setter,Indonesian Proliga,2013
69,p33901,Best blocker,World Championships U19,2021
70,p181,Best receiver,Brazilian Superliga,2008
71,p33901,Best middle-blocker,European Championships U18,2020
72,p100,Best scorer,Belgian Liga A,2010
73,p5643,Best scorer,Polish Second League,2018
74,p5643,Best spiker,Polish Second League,2018
75,p181,Best receiver,Brazilian Superliga,2007
76,p178,Best middle-blocker,Asian Club Championship,2015
77,p4894,Best outside hitter,Paulista Championship,2020
78,p38154,Best setter,Thailand League,2013
79,p48020,Best server,Indonesian Proliga,2021
80,p3572,Best digger,Japan V.League Division 1,2019
81,p5995,Best spiker,Italian Cup,2022
82,p5995,Best middle-blocker,The Olympics,2021
83,p1002,Best outside hitter,Asian Club Championship,2020
84,p5995,MVP,French Ligue A,2018
85,p1002,MVP,Greek Cup,2016
86,p5995,Best blocker,Grand Champions Cup,2017
87,p3572,Best receiver,Japan V.League Division 1,2019
88,p1002,MVP,French SuperCup,2015
89,p118,Best receiver,European Championships U20,2010
90,p3572,MVP,Asian Championships U20,2010
91,p1002,Best scorer,Serbian Super League,2009
92,p118,Best scorer,Balkan Championships U21,2010
93,p3572,Best libero,Asian Championships U18,2008
94,p65473,Best receiver,Bulgarian League,2021
95,p350,MVP,German SuperCup,2017
96,p80272,MVP,Philippines PNVF Champions League,2021
97,p2349,Best spiker,Asian Championships,2007
98,p178,Best server,Japan V.League Division 1,2014
99,p2349,Best scorer,Korean V-League,2005
100,p2349,Best server,Korean V-League,2005
101,p178,Best opposite,Japan V.League Division 1,2014
102,p2349,Best spiker,Korean V-League,2005
103,p80272,Best outside hitter,Philippines PNVF Champions League,2021
104,p178,Best scorer,Challenge Cup,2012
105,p28210,Best spiker,European Silver League,2021
106,p2349,Best server,Asian Championships,2005
107,p178,MVP,Italian Cup,2009
108,p1002,Best outside hitter,Serbian Super League,2009
109,p178,Best scorer,Italian Serie A1,2007
110,p28210,Best middle-blocker,Cyprus Division 1,2020
111,p30701,Best setter,Indonesian Proliga,2021
112,p2349,Best scorer,Korean V-League,2004
113,p4035,MVP,Challenge Cup,2008
114,p2859,Best server,Brazilian Superliga,2013
115,p2859,Best server,Brazilian Superliga,2011
116,p30701,Best setter,Indonesian Proliga,2016
117,p270,Best outside hitter,Argentinian Liga A1,2020
118,p4035,MVP,Türkiye Erkekler Voleybol Ligi,2006
119,p2349,Best server,Korean V-League,2004
120,p2349,Best spiker,Asian Championships,2001
121,p2958,Best scorer,Indonesian Proliga,2021
122,p3643,Best setter,Polish Second League,2013
123,p2349,Best outside hitter,Korean V-League,1999
124,p2349,Best outside hitter,Korean V-League,2000
125,p11584,MVP,U Sports Championship,2017
126,p24306,Best middle-blocker,European Championships U18,2018
127,p5647,MVP,Challenge Cup,2014
128,p270,Best outside hitter,South American Championship,2019
129,p2932,Best server,Brazilian Superliga,2015
130,p22619,MVP,Omani League Division 1,2018
131,p22619,Best spiker,Ministrys Volleyball Shield,2014
132,p22619,Best blocker,Omani League Division 1,2014
133,p270,Best digger,Challenger Cup,2018
134,p270,Best outside hitter,South American Championship U23,2014
135,p2932,Best server,Brazilian Superliga,2005
136,p22619,Best middle-blocker,Omani League Division 1,2017
137,p595,Best outside hitter,Iran Super League,2021
138,p595,Best spiker,World Championships U23,2013
139,p270,Best outside hitter,South American Championship U21,2014
140,p40954,Best digger,Japan V.League Division 1,2021
141,p270,Best scorer,World Championships U19,2013
142,p30742,Best opposite,Asian Cup,2018
143,p270,MVP,South American Championship U19,2012
144,p371,Best spiker,German Bundesliga,2015
145,p22619,MVP,Ministrys Volleyball Shield,2018
146,p1823,Best receiver,Greek A1 League,2016
147,p40764,Best middle-blocker,Philippines Open Conference,2018
148,p22619,Best middle-blocker,Ministrys Volleyball Shield,2015
149,p94466,Best receiver,Pan American Cup U19,2022
150,p2852,Best digger,Brazilian Superliga,2007
151,p26357,Best setter,All Japan Intercollegiate Championship,2018
152,p4380,Best digger,Canada West Championship,2018
153,p22619,Best middle-blocker,Omani League Division 1,2019
154,p11573,Best server,Spanish Superliga 2,2019
155,p11573,Best setter,Spanish Superliga,2015
156,p22619,Best middle-blocker,Ministrys Volleyball Shield,2013
157,p461,Best outside hitter,Finnish Lentopallon Mestaruusliiga,2017
158,p22619,Best blocker,Omani League Division 1,2011
159,p34550,MVP,CEV Cup,2021
160,p1052,MVP,Russian SuperCup,2016
161,p1052,Best blocker,Challenge Cup,2012
162,p1052,Best blocker,Russian Superleague,2012
163,p1052,Best blocker,World Championships U21,2003
164,p34550,MVP,Viacheslav Platonov Memorial,2021
165,p53712,Best middle-blocker,NEVZA U17,2019
166,p2559,Best server,Brazilian Superliga,2001
167,p34550,Best server,European Championship Qualification,2021
168,p1081,Best setter,Russian Cup,2011
169,p4035,Best scorer,Türkiye Erkekler Voleybol Ligi,2006
170,p34550,Best outside hitter,European Championship Qualification,2021
171,p4035,MVP,European Supercup,2000
172,p26186,Best outside hitter,South American Championship U21,2018
173,p4035,MVP,CEV Cup,1999
174,p11944,Best middle-blocker,Bulgarian League,2014
175,p314,Best spiker,Türkiye Erkekler Voleybol Ligi,2014
176,p34550,Best outside hitter,Belarussian League,2019
177,p4035,Best blocker,CEV Cup,1999
178,p34550,Best receiver,Challenger Cup,2019
179,p9645,Best blocker,Polish PlusLiga,2000
180,p314,MVP,NORCECA Championships,2005
181,p89246,Best spiker,Oman League U21,2021
182,p24358,Best scorer,Danish VolleyLigaen,2016
183,p24358,Best opposite,Danish VolleyLigaen,2015
184,p198,Best libero,South American Championship,2013
185,p4995,Best middle-blocker,NORCECA Championships,2017
186,p34550,Best outside hitter,Challenger Cup,2019
187,p25746,Best libero,The Olympics,2000
188,p314,Best scorer,Indonesian Proliga,2012
189,p198,Best libero,World League,2013
190,p25746,Best libero,German Bundesliga,1999
191,p34550,Best scorer,European Championships U17,2017
192,p25746,Best receiver,German Bundesliga,1999
193,p314,Best scorer,Indonesian Proliga,2013
194,p1873,Best spiker,World Cup,1981
195,p6831,Best middle-blocker,Spanish Superliga,2021
196,p198,Best digger,World League,2013
197,p6831,Best middle-blocker,South American Championship,2017
198,p198,Best receiver,World League,2013
199,p198,Best receiver,Pan American Games,2011
200,p79079,Best opposite,Korean V-League,1994
201,p79079,Best middle-blocker,Korean V-League,1990
202,p12005,Best spiker,Challenge Cup,2016
203,p51842,Best server,Korean V-League,2000
204,p24273,Best blocker,Chinese Volleyball League,2017
205,p35796,Best middle-blocker,Central American Championship U21,2015
206,p66384,Best server,Indonesian Proliga,2007
207,p198,Best libero,World League,2010
208,p198,Best receiver,World League,2010
