body_builder_id,first_name,last_name,birth_date,team_id
1,Pablo,Gianelli,10/30/1989,
2,David,Barroso,10/31/1996,
3,Ioannis,Paraschidis,8/24/1989,
4,Ramin,Aqai),3/2/1990,t16281
5,Eduardo,1000,,
6,Andrés,Esper,9/16/1971,t1472
7,Nicolás,Ruiz,,
8,Facundo,Facu,,
9,Daniel,200,5/18/1965,t1674
10,Eduardo,Pesci,,
11,René,Luna,10/19/1979,
12,Loreana,Giordano,4/27/1990,
13,Sebastian,Villalba,10/14/1987,
14,Pablo,Griboff,,
15,Robert,Auer,7/5/1980,t4729
16,Hansi,Huber,1/2/1981,t1951
17,Peyman,Nematpur,,
18,Dominik,Fridrich,,
19,Jonas,Wallens,,
20,Mehdi,Khabbaz,,
21,Sergey,Nikulenko,3/20/1972,t5631
22,Xavier,Flamme,,
23,Riccardo,Ferro,,
24,Isacco,Manfredi,,
25,Maurizio,Rubbo,,
26,Massimo,Catalano,,
27,Riccardo,Villa,,
28,Daniele,Papetti,,
29,Eris,Goldin,,
30,Fabio,Menichetti,,
31,Nadia,Centoni,6/19/1981,
32,Eduardo,1000,,
33,Luca,Rossini,1/14/1991,
34,Dmitry,(Dima),5/24/1982,
35,Kevin,Geerinckx,6/14/1986,t1484
36,Christine,Deleuil,6/11/1967,
37,Steven,Opsteijn,5/18/1976,t1685
38,Pieter,Driesen,,t2795
39,Stijn,Waele,,t1484
40,Fons,100,,
41,Jo,Velde,,
42,Koen,Embrechts,12/30/1974,
43,Beau,Maesschalk,,
44,Adriano,Roza,6/21/1982,
45,Marcelo,Vitorino,,
46,Rafael,Rocamora,,
47,Marco,500,,
48,Rafael,Jesus,,
49,Carlos,(Carlão),,t4571
50,Renato,Bacchi,,
51,Jonathan,(Joh),8/5/1993,
52,José,Leite,,t1551
53,Beatrice,Palomba,,
54,Fernando,Maddaluno,,
55,Ricardo,Oliboni,1/10/1980,
56,Michele,Patoia,,
57,Federico,Masina,,
58,Matteo,Preden,,
59,Lucas,Rodrigues,,t3674
60,Tiziano,Bonizzoni,,
61,Fabio,Correia,,t1802
62,Andrea,Ferrara,,
63,Felipe,Uchôa,,
64,Mirco,Fasini,,t1444
65,Thawe,Nascimento,,t1510
66,Joao,(Joazinho),,
67,Jose,Neto,,
68,Solange,Soares,7/1/1980,
69,Alexandre,1000,,
70,Marco,1000,8/29/1984,
71,Fernanda,100,5/10/1986,
72,Anderson,Massahud,,t3554
73,Stefano,1000,2/19/1980,
74,Juliene,Carvalho,,t4571
75,Luca,Seminara,,
76,Davidson,Alves,,t1965
77,Davide,Partegiani,,
78,Rogério,Oliveira,,t1378
79,Alberto,Carta,,
80,Giovanni,500,,
81,Marco,Lella,,t17489
82,Alberto,Settin,,
83,Myriam,Knutti,,
84,Andrea,Dotto,9/2/1972,
85,Vincent,Grize,,
86,Marco,Sesia,,
87,Nicolas,Marbach,,
88,Melánie,Pauli,5/5/1980,
89,Giovanni,Fontana,,
90,Alessandro,Bracceschi,7/16/1980,
91,Bruno,Knutti,,
92,David,Favre,,
93,Marc,Müller,,
94,Andrea,Beriotto,,t16311
95,Lionel,Grossenbacher,,
96,Stefano,Fumagalli,,
97,Alexander,Stravs,,
98,Omar,Capuzzo,,
99,Isfendiar,Vaiseh,3/17/1993,
100,Fabio,Vita,,
101,Kay,Vogel,,
102,Mirko,1000,,
103,Oscar,Burillo,,
104,Luca,Meloni,,
105,Oscar,Tipa,,
106,Ophelia,Varin,,
107,Stefano,Tomarchio,,
108,Miriam,Rosolen,,
109,Kypros,Michael,5/27/1996,
110,Giacomo,Drusiani,6/19/1989,
111,Demetris,Vamvatsoulis,,t1724
112,Davide,Eggmann,,
113,Dimitris,Evaggelou,,t3908
114,Andrea,Cordenos,,
115,Akis,Vanezos,10/19/1964,t2604
116,Constantinos,Christou,2/3/1991,
117,Jana,Rost,8/22/1998,
118,Mara,Concari,,
119,André,Moser,,t1871
120,Gioele,Salvadori,,
121,Lena,Zahn,12/20/1990,t4911
122,Marco,Serafini,,
123,Barbara,Pampel,11/29/1979,t5399
124,Simone,Mencaccini,3/26/1971,
125,Tobias,Klein,4/9/1986,t2529
126,Walter,Vivian,,
127,Anke,Precht,10/13/1969,
128,Edoardo,Mussa,,
129,Gabriele,Rudi,8/14/1994,
130,Andrea,Bonsi,,
131,Matteo,Trovati,,
132,Mattis,Kreiselmaier,,t1871
133,Fabio,Sarto,,
134,Michael,1000,8/4/1981,
135,Gennaro,Ucci,,
136,Joaquin,Placeres,6/16/1994,
137,Miguel,Gozálbez,7/10/1968,
138,Rubén,Carreño,10/17/1996,t11162
139,Sergio,Antonazzo,,
140,David,Suarez,,t21280
141,Stefano,Mercatelli,,
142,Daniel,López,10/29/1995,t1449
143,Pasquale,Piraino,,
144,Domenico,Gennaro,,
145,Javier,Peña,,
146,Massimo,500,,
147,Johanna,Lehtonen,,
148,Andrea,D'Agostino,,
149,Risto,Savolainen,,t6274
150,Luca,Donati,,
151,Teemu,Oksanen,11/4/1983,
152,Adriano,Marullo,,
153,Giovanni,Berzioli,,
154,Giulia,Ponio,,
155,Markus,Kuusijoensuu,,
156,Alessio,Carraro,,
