first_name,last_name,weight,height,birth_date,team_id
José,uis Rifourcat (Josi),0.0,0.0,,
Agim,Reka,0.0,0.0,6/8/1963,
Nahuel,Fernando López,0.0,0.0,,
Blerim,Pepa,0.0,0.0,11/9/1985,
Miguel,Benjamin Pantorrilla Perez (Profe.),0.0,0.0,10/20/1975,t19353
Maurizio,Montaruli,0.0,193.0,3/5/1969,
Hasan,Gurabardhi,0.0,0.0,,
Altin,Gorenxa,76.0,187.0,5/4/1978,
Adrian,Gorenxa,0.0,0.0,,
Dorian,Korbeci,0.0,0.0,7/25/1983,t3843
Lucia,Muller,0.0,0.0,,
Juan,Manuel Barrial TOP 500,0.0,0.0,11/3/1967,t2574
Enrique,Edelstein,0.0,0.0,1/15/1952,
Gustavo,Meczyk,0.0,0.0,,
Francisco,Salomon,0.0,0.0,,
Pandi,Kapedani,0.0,0.0,11/30/1965,t6551
Nicolas,Martinez Des Rotour,0.0,0.0,,
David,Neimark,0.0,0.0,,
Brian,Medina,0.0,0.0,,
Agki,Mpampouli,0.0,175.0,12/26/1963,
Federico,Leguizamon,0.0,0.0,,
Jorge,Ricardo Munari,0.0,0.0,7/29/1966,
Elton,Tukseferi,72.0,183.0,7/30/1975,t3801
Victoria,Giro,0.0,0.0,,
Dritan,Cuko,0.0,193.0,5/29/1974,t1415
Jon,Uriarte TOP 500,91.0,199.0,10/15/1961,
Maximiliano,Ledesma,0.0,0.0,,
Roland,Bello,0.0,0.0,,t6551
Máximo,orcello,92.0,198.0,3/31/1981,
Carlos,Cavalli,0.0,0.0,,t1908
Gracian,Shehu,0.0,0.0,4/8/1996,
Hernán,erraro,74.0,171.0,5/13/1968,t3517
Guillermo,Orduna TOP 1000,0.0,0.0,,
Lorik,Ilazi,0.0,0.0,12/16/1980,
Hernan,Pinto,0.0,0.0,,
Gonzalo,Borstelmann,0.0,0.0,12/13/1901,t11055
Dalina,Kolaj,0.0,0.0,1/9/1972,
Facundo,Catalfamo,0.0,0.0,,
Fatmir,Hajdini,0.0,0.0,1/15/1953,t2494
Jeronimo,Di Palma Painè,0.0,0.0,,
Charlie,Brenlla,0.0,0.0,,
Marcelo,Benavidez,0.0,0.0,,t6371
Edmond,Jazexhi,0.0,0.0,,
Alejandro,Dibenedetto,0.0,0.0,,
Claudio,Cuello TOP 500,0.0,0.0,3/4/1958,
Nicolás,frón,92.0,198.0,3/10/1979,
Robinson,Urdaneta,0.0,0.0,,
Pablo,Maximiliano Catalfamo,0.0,0.0,,
Artan,Kalaja,0.0,0.0,1/21/1965,t4239
Andi,Lundra,0.0,0.0,8/4/1983,
Erilda,Allkanjari,0.0,0.0,4/28/1987,
Mirion,Vllamasi,0.0,0.0,4/20/1982,t2752
Enkeleda,Muka,0.0,0.0,2/10/1983,
Ajola,Berisha,0.0,0.0,,
Parit,Uruçi,78.0,189.0,1/13/1983,t6550
Fatmir,Myrta,0.0,0.0,3/17/1972,t2494
Besnik,Lisha,0.0,0.0,,
Artan,Pogoni,0.0,0.0,3/20/1972,
Fisnik,Lushjani,0.0,0.0,5/11/1972,t6553
Maliq,Allko,0.0,0.0,4/18/1968,
Rezeart,Muka,0.0,0.0,1/19/1971,t6550
Amarilda,Sijoni,0.0,185.0,7/19/1981,
Redvan,Shaba,0.0,0.0,1/19/1985,t6552
Donald,Suxho,98.0,194.0,2/21/1976,
Erjos,Haxhillari,0.0,0.0,5/8/1983,
Junida,Pogoni,0.0,0.0,4/6/1978,
Ilia,Koja,0.0,0.0,,t3843
Orlando,Koja,0.0,0.0,,
Jovan,Melka,0.0,192.0,5/19/1964,
Ermal,Kraja,0.0,0.0,,t4239
Mark,Kroqi,0.0,0.0,,t4239
Arben,Sako,0.0,0.0,,t3843
Alma,Kovaci Lee,0.0,0.0,,
Dritan,Bardhi,0.0,0.0,8/27/1980,
Ylli,Tomorri,0.0,0.0,,t3801
Anida,Budini (Ani),0.0,0.0,11/27/1976,
Artur,Gjeci,0.0,0.0,2/24/1972,t2752
Tuad,Arinasi,0.0,0.0,,t4239
Martin,Lopez TOP 1000,0.0,0.0,10/17/1980,
Mauro,Boasso,0.0,0.0,,
Paolo,Ponzi,0.0,0.0,,
Carlos,Camus,0.0,0.0,,
Cristian,Ventura (Ventu),0.0,0.0,3/3/1970,t5820
Alejandro,Altamirano,0.0,0.0,1/19/1993,
Santiago,Bertini,0.0,0.0,,
Luis,Stocco,0.0,0.0,7/23/1951,
Silvia,Solana,0.0,0.0,9/14/1979,t3517
Hernan,Diaz,0.0,0.0,,
Gerardo,Rey,0.0,0.0,,t19503
Matías,uidolin,0.0,0.0,6/16/1982,t3939
Licel,Alberto Noir,0.0,0.0,10/15/1991,
Mario,Gallego,0.0,0.0,,
Adrian,Dezzutti,0.0,0.0,11/28/1979,
Erica,Campbell,0.0,0.0,,
Julieta,Del Rio,0.0,0.0,,
Tomas,Galimberti,0.0,0.0,4/6/1986,t3908
Hernán,esci,0.0,0.0,10/12/1974,t3653
Leonardo,Wiernes (Chiqui),0.0,190.0,2/1/1963,t1693
Justo,Cordoba,0.0,0.0,,
Alberto,Roitman,0.0,0.0,,
Jorge,Cannestracci,0.0,178.0,6/10/1961,
Eduardo,Allona (Tuco) TOP 500,0.0,0.0,5/5/1965,
Matias,Principe,0.0,0.0,,
