player_id,name,ranking,weight,position,height,country_code,birthdate,team_id
p1,Enea Xhelati,2659.0,91.0,Opposite,200.0,,5/15/1982,t1328
p10,Demián González TOP 200,159.0,81.0,Setter,192.0,AR,2/21/1983,
p100,Wannes Rosiers,,86.0,Opposite,201.0,BE,6/22/1985,
p1000,Ivan Borovnjak,1902.0,88.0,Outside Hitter,200.0,RS,7/4/1989,t1302
p10000,Szymon Kostecki,,,Outside Hitter,190.0,PL,9/23/1981,t1444
p100000,Francisco Lasprilla Gómez,,67.0,Outside Hitter,179.0,CO,,
p100001,Mario Gaudieri,,,Libero,174.0,IT,1/31/1995,
p100002,Luca Cacciatore,,,Setter,189.0,IT,10/5/1992,
p100003,Marco Cittadino,,,Middle-blocker,201.0,IT,3/23/1984,
p100006,Rudi Rea,,,Libero,183.0,IT,8/20/1992,
p100007,Pierpaolo Polselli,,,Middle-blocker,195.0,IT,10/8/1993,
p100008,Amine Bel Hadj Salah,,80.0,Outside Hitter,190.0,TN,5/7/2003,
p100009,Oliwier Burda,,67.0,Outside Hitter,192.0,PL,1/20/2008,t10875
p10002,Tomasz Rybak,,,Middle-blocker,194.0,PL,11/1/1981,t2655
p10003,Marcin Kozar,,,Libero,189.0,PL,11/11/1981,t5306
p100033,Efe Ertürkler,,83.0,Opposite,189.0,TR,11/7/2005,t11537
p10004,Marcin Kasprowicz,,,Middle-blocker,197.0,PL,11/15/1981,t3072
p10005,Andrzej Kurdziel,,,Outside Hitter,192.0,PL,12/13/1981,t1525
p100057,Kamil Zając,,89.0,Middle-blocker,203.0,PL,10/29/1997,
p10006,Paweł Szabelski,,,Middle-blocker,195.0,PL,12/22/1981,t1444
p100066,Sina Ravandi,5587.0,90.0,Outside Hitter,195.0,IR,,t6762
p100068,Souma Ito,,,Opposite,193.0,JP,,t2970
p10007,Krystian Kryjom,,,Setter,185.0,PL,1/1/1982,
p100070,Marko Mičeta,,,Setter,,BA,5/15/2003,t5036
p10008,Marek Waltz,,,Setter,189.0,PL,1/1/1982,t1444
p100085,Serdar Hasbal,,80.0,Outside Hitter,188.0,TR,2/6/1988,t11022
p100086,Giannis Plithis,,,Setter,,GR,8/20/1961,t10951
p10009,Bartłomiej Zapilaj,,,Libero,179.0,PL,1/1/1982,t1444
p100091,Rodrigo Themudo,,,Setter,,PT,5/9/2004,t19550
p100092,Diogo Gomes,,,Setter,,PT,2/5/2004,t19550
p100093,João Freitas,,,Setter,,PT,9/30/2005,t19550
p100094,Tiago Torres,,,Outside Hitter,,PT,10/3/2004,t10445
p100096,Leonardo Pereira,,,Opposite,,PT,4/9/2006,t19550
p100097,Afonso Dias,,,Outside Hitter,,PT,2/25/2004,t19550
p1001,Ivan Miljković TOP 100,,88.0,Opposite,206.0,RS,9/13/1979,t1534
p10010,Paweł Pietryka,,,Middle-blocker,197.0,PL,1/1/1982,t1477
p100101,Marko Marošević,,80.0,Setter,180.0,HR,4/9/1997,t6646
p100102,Quentin Divary,,,Setter,,FR,,
p10011,Łukasz Sobolewski,,,Setter,183.0,PL,1/1/1982,t1351
p10012,Patryk Michna,,,Middle-blocker,198.0,PL,1/1/1982,t5676
p100124,Ali Köksoy,,80.0,Opposite,191.0,TR,2/21/2002,
p100125,Bruno Lusic,,,Outside Hitter,196.0,,1/30/1986,t5053
p10013,Łukasz Uliński,,,Setter,185.0,PL,1/1/1982,
p100134,Michał Kowalczyk,,,Opposite,186.0,PL,,t1999
p10014,Damian Tomaszkiewicz,,,Outside Hitter,195.0,PL,1/1/1982,
p100148,Lourenço Torres,,,Setter,171.0,PT,3/20/2004,t5144
p100149,Rodrigo Soares,,,Middle-blocker,180.0,PT,1/22/2004,t5144
p10015,Daniel Ferreira,,84.0,Outside Hitter,195.0,BR,5/1/1982,
p100150,Vasco Pires,,,Opposite,180.0,PT,7/16/2004,t5144
p100151,Tomás Correia,,,Setter,183.0,PT,12/3/2004,t5144
p100152,Tomás Marques,,,Libero,170.0,PT,11/8/2004,t16255
p100153,Diogo Lopes,,,Middle-blocker,180.0,PT,1/20/2004,t20602
p100154,Vasco Verdugo,,,Outside Hitter,177.0,PT,7/19/2004,t5144
