stadium_id,stadium_name,country_code,town,opening_year,capacity
a1,Hamdan Sports Complex,AE,Dubai,2010.0,15000.0
a10,Orfeo Superdomo,AR,Córdoba,2002.0,14000.0
a100,Centro de Entrenamiento Olimpico,CL,Santiago,,2000.0
a1001,Ginásio Poliesportivo Municipal João Augusto Teixeira Silva,BR,Cabo Frio - RJ,,
a1002,Niigata Higashi General Sports Center,JP,Niigata,,3120.0
a1003,Coliseo Miguel Grau,PE,Callao,1996.0,5000.0
a1004,Michel Slaiman,LB,Jbeil,,
a1005,Al Mina Sports Arena,LB,Tripoli,,
a1006,Murr,LB,Dora,,
a1007,Ghazir,LB,Ghazir,,
a1008,Hamat,LB,Hamat,,
a1009,Amchit,LB,Amchit,,
a101,Beijing Institute of Technology Gymnasium,CN,Beijing,2008.0,5000.0
a1010,Sarafand,LB,Sarafand,,
a1011,Central,LB,Jounieh,,
a1012,Lahoud,LB,Dekwene,,
a1014,Mustafa Dağıstanlı Spor Salonu,TR,Samsun,2013.0,1500.0
a1015,Konya Selçuklu Municipality Sports,TR,Ankara,,
a1016,Mihai Viteazul,RO,Bucharest,,1000.0
a1017,Lavras Tênis Clube,BR,Lavras,,
a1019,Fagrilundur,IS,Kópavogur,,500.0
a102,Capital Indoor Stadium,CN,Beijing,1968.0,17345.0
a1020,Turun Palloiluhalli,FI,Turku,,
a1021,Ginásio Colégio Mãe de Deus,BR,Londrina,,
a1022,Fukuoka Citizen's Gymnasium,JP,Fukuoka City Fukuoka,1972.0,3500.0
a1023,Zouaoui Salle,TN,El Haouaria,,
a1024,Ginásio Vicente Rijo,BR,Londrina,,
a1025,Pôle Ballons de la Province de Liège,BE,Waremme,2017.0,1000.0
a1026,Ostravar Aréna,,Ostrava,1986.0,12000.0
a1027,Ginásio Municipal Guaibê,BR,Guarujá,,
a1029,Burridge Gym,CA,Hamilton,,2250.0
a103,Sichuan Provincial Gymnasium,CN,Chengdu,,7000.0
a1030,Ginásio Paulo Skaf - Sesi Horto,BR,Bauru,2018.0,5000.0
a1031,Ginásio Delenice Fonseca Oliveira,BR,São Caetano do Sul,,2000.0
a1032,Ginásio Azul,BR,São Paulo,,4000.0
a1033,Mies-van-der-Rohe-Schule,DE,Aachen,,1268.0
a1034,Hauptverein Schweriner Sportclub e. V.,DE,Schwerin,,400.0
a1035,Polideportivo Nuestra Señora de Luján,AR,San Juan,,
a1036,Sibur Arena,,St Petersburg,2013.0,7120.0
a1037,PalaScoppa,IT,Soverato,1994.0,550.0
a1038,Goiânia Arena,BR,Goiânia,2002.0,15000.0
a104,Lingnan Pearl Gymnasium,CN,Foshan,2006.0,8464.0
a1041,Devaney Center,,Lincoln - Nebraska,,7907.0
a1042,Sky Hall Toyota,JP,Toyota City Aichi,2007.0,6500.0
a1043,Indoor Hall Kallitheas Rodou,GR,Rhodes,2014.0,1500.0
a1045,Nea Ionia Municipal Indoor Athletic Center,GR,Volos,,1964.0
a1046,PalaSele,IT,Eboli,,8000.0
a1047,UTN Universidad Tecnológica Nacional,AR,Santa Fe,,
a1048,Saimaa Stadiumi,FI,Mikkeli,,2200.0
a1049,Spordikeskus,EE,Rakvere,,
a105,Hong Kong Coliseum,HK,Kowloon,1983.0,12500.0
a1050,De Lichten,BE,Heist-op-den-berg,,
a1051,Sporthal Steuren Ambacht,BE,Lendelede,,
a1052,Gemeentelijke Sporthal Kapellen,BE,Kapellen,,
a1053,Complex Omnisports de Walhain,BE,Walhain,,
a1054,TD Place Arena,CA,Ottawa,1966.0,9500.0
a1055,Arena Aix,FR,Aix-en-Provence,,
a1057,Jiangmen Sports Hall,CN,Jiangmen,2017.0,
a1058,Korat Chatchai Hall,TH,Nakhon Ratchasima,2007.0,5000.0
a106,Luohe Sports Center,CN,Luohe - Henan,2002.0,4600.0
a1060,Hall Omnisport de Baulers,BE,Bauleurs,,
a1061,Sporthal Marke,BE,Marke,,
a1063,Sportcomplex Den Dijk,BE,Haacht,,
a1064,Sporthal Diepvenneke,BE,Vosselaar,,
a1065,Arena Ludwigsburg,DE,Ludwigsburg,2009.0,
a1066,Hisense Arena,AU,Melbourne,2000.0,10500.0
a1067,Stade Pierre-Mauroy,FR,Villeneuve-d Ascq,2012.0,50000.0
a1068,Sala Sporturilor DJST,RO,Targoviste,,2800.0
a1069,Pabellón Rircado Arias,DO,Santo Domingo,,4000.0
a107,Macau Forum,CN,Macau,,4000.0
a1070,Coliseo Julio Monsalvo,CO,Valledupar,,20000.0
a1071,Pala Nino Manera,IT,Mondovì,,
a1073,PalaRota,IT,Spoleto,,
a1074,PalaMalè,IT,Viterbo,1983.0,2200.0
a1075,Palasport Grottazzolina,IT,Grottazzolina,,
a1077,PalaPolsinelli,IT,Sora,2011.0,2000.0
a1078,Palazzetto dello Sport,IT,Montefiascone,,660.0
a1079,Palazzetto dello Sport,IT,Monterotondo,,
a108,Macau East Asian Games Dome,CN,Macau,2005.0,7000.0
a1082,Hanyang University Olympic Gymnasium,KR,Seoul,1986.0,8000.0
a1083,Olympic Gymnastics Arena,KR,Seoul,1986.0,15000.0
a1084,MCC Hall The Mall Korat,TH,Nakhon Ratchasima,2000.0,5000.0
a1085,CREPS de Toulouse,FR,Toulouse,,100.0
a1086,Arena Suzano,BR,Suzano,2018.0,4000.0
a1087,Edmonton Garrison Fitness Centre,CA,Edmonton,,
a1089,Hala sportowa przy Szkole Podstawowej nr 7 w Świdniku,PL,Świdnik,,500.0
a109,Jiangning Sports Center Gymnasium,CN,Nanjing - Jiangsu,2005.0,5345.0
a1090,Pabellón Moisés Ruiz,ES,Almería,2005.0,2000.0
a1091,Všesportovní hala České Budějovice,,České Budějovice,,2000.0
a1092,Sportovní hala Lužiny,,Praha,,400.0
a1093,Sport Hall Sareza,,Ostrava,,400.0
a1094,Salle Palmeira,FR,Nice,,1000.0
a1095,Gelora Bung Karno Sports Complex,ID,Jakarta,1962.0,
a1096,Bulungan Sport Hall,ID,Jakarta,,
