transfer_id,player_name,first_name,last_name,date,old_team_id,new_team_id
1,Thiago Maciel,Thiago,Maciel,2010,t2579,t1454
2,Oleksandr Statsenko,Oleksandr,Statsenko,2010,t1617,
3,Dante Elias Trevisan,Dante,Trevisan,2010,t1517,t1309
4,Robert Szczerbaniuk,Robert,Szczerbaniuk,2010,,
5,Arash Keshavarzi,Arash,Keshavarzi,2010,t1753,t2398
6,Mario Zelić,Mario,Zelić,2010,t1535,t1821
7,Dmitry Shestak,Dmitry,Shestak,2010,t1929,t1472
8,Andrei Spînu,Andrei,Spînu,2010,t1960,t1889
9,Kamil Lewiński,Kamil,Lewiński,2010,t1635,
10,Armin Mustedanović,Armin,Mustedanović,2010,t2969,t2342
11,Niels Klapwijk,Niels,Klapwijk,2010,,
12,Roberto Romiti,Roberto,Romiti,2010,,
13,Alejandro Fernández Rojas,Alejandro,Rojas,2010,t1880,t1431
14,Stanisław Wawrzyńczyk,Stanisław,Wawrzyńczyk,2010,t1300,t1897
15,Kert Toobal,Kert,Toobal,2010,t1504,
16,Milan Bencz,Milan,Bencz,2010,t1836,t2351
17,Vinicius Santos,Vinicius,Santos,2010,,t1993
18,Daniele Sottile,Daniele,Sottile,2010,,
19,Bruno Felício de Jesus,Bruno,Jesus,2010,t2579,t1993
20,Rodrigo Moraes,Rodrigo,Moraes,2010,,t1993
21,Thiago Maciel,Thiago,Maciel,2010,t2579,t1454
22,Oleksandr Statsenko,Oleksandr,Statsenko,2010,t1617,
23,Dante Elias Trevisan,Dante,Trevisan,2010,t1517,t1309
24,Robert Szczerbaniuk,Robert,Szczerbaniuk,2010,,
25,Arash Keshavarzi,Arash,Keshavarzi,2010,t1753,t2398
26,Mario Zelić,Mario,Zelić,2010,t1535,t1821
27,Dmitry Shestak,Dmitry,Shestak,2010,t1929,t1472
28,Andrei Spînu,Andrei,Spînu,2010,t1960,t1889
29,Kamil Lewiński,Kamil,Lewiński,2010,t1635,
30,Armin Mustedanović,Armin,Mustedanović,2010,t2969,t2342
31,Niels Klapwijk,Niels,Klapwijk,2010,,
32,Roberto Romiti,Roberto,Romiti,2010,,
33,Alejandro Fernández Rojas,Alejandro,Rojas,2010,t1880,t1431
34,Stanisław Wawrzyńczyk,Stanisław,Wawrzyńczyk,2010,t1300,t1897
35,Kert Toobal,Kert,Toobal,2010,t1504,
36,Milan Bencz,Milan,Bencz,2010,t1836,t2351
37,Vinicius Santos,Vinicius,Santos,2010,,t1993
38,Daniele Sottile,Daniele,Sottile,2010,,
39,Bruno Felício de Jesus,Bruno,Jesus,2010,t2579,t1993
40,Rodrigo Moraes,Rodrigo,Moraes,2010,,t1993
41,Thiago Maciel,Thiago,Maciel,2010,t2579,t1454
42,Oleksandr Statsenko,Oleksandr,Statsenko,2010,t1617,
43,Dante Elias Trevisan,Dante,Trevisan,2010,t1517,t1309
44,Robert Szczerbaniuk,Robert,Szczerbaniuk,2010,,
45,Arash Keshavarzi,Arash,Keshavarzi,2010,t1753,t2398
46,Mario Zelić,Mario,Zelić,2010,t1535,t1821
47,Dmitry Shestak,Dmitry,Shestak,2010,t1929,t1472
48,Andrei Spînu,Andrei,Spînu,2010,t1960,t1889
49,Kamil Lewiński,Kamil,Lewiński,2010,t1635,
50,Armin Mustedanović,Armin,Mustedanović,2010,t2969,t2342
51,Niels Klapwijk,Niels,Klapwijk,2010,,
52,Roberto Romiti,Roberto,Romiti,2010,,
53,Alejandro Fernández Rojas,Alejandro,Rojas,2010,t1880,t1431
54,Stanisław Wawrzyńczyk,Stanisław,Wawrzyńczyk,2010,t1300,t1897
55,Kert Toobal,Kert,Toobal,2010,t1504,
56,Milan Bencz,Milan,Bencz,2010,t1836,t2351
57,Vinicius Santos,Vinicius,Santos,2010,,t1993
58,Daniele Sottile,Daniele,Sottile,2010,,
59,Bruno Felício de Jesus,Bruno,Jesus,2010,t2579,t1993
60,Rodrigo Moraes,Rodrigo,Moraes,2010,,t1993
61,Thiago Maciel,Thiago,Maciel,2010,t2579,t1454
62,Oleksandr Statsenko,Oleksandr,Statsenko,2010,t1617,
63,Dante Elias Trevisan,Dante,Trevisan,2010,t1517,t1309
64,Robert Szczerbaniuk,Robert,Szczerbaniuk,2010,,
65,Arash Keshavarzi,Arash,Keshavarzi,2010,t1753,t2398
66,Mario Zelić,Mario,Zelić,2010,t1535,t1821
67,Dmitry Shestak,Dmitry,Shestak,2010,t1929,t1472
68,Andrei Spînu,Andrei,Spînu,2010,t1960,t1889
69,Kamil Lewiński,Kamil,Lewiński,2010,t1635,
70,Armin Mustedanović,Armin,Mustedanović,2010,t2969,t2342
71,Niels Klapwijk,Niels,Klapwijk,2010,,
72,Roberto Romiti,Roberto,Romiti,2010,,
73,Alejandro Fernández Rojas,Alejandro,Rojas,2010,t1880,t1431
74,Stanisław Wawrzyńczyk,Stanisław,Wawrzyńczyk,2010,t1300,t1897
75,Kert Toobal,Kert,Toobal,2010,t1504,
76,Milan Bencz,Milan,Bencz,2010,t1836,t2351
77,Vinicius Santos,Vinicius,Santos,2010,,t1993
78,Daniele Sottile,Daniele,Sottile,2010,,
79,Bruno Felício de Jesus,Bruno,Jesus,2010,t2579,t1993
80,Rodrigo Moraes,Rodrigo,Moraes,2010,,t1993
81,Thiago Maciel,Thiago,Maciel,2010,t2579,t1454
82,Oleksandr Statsenko,Oleksandr,Statsenko,2010,t1617,
83,Milan Bencz,Milan,Bencz,2010,t1836,t2351
84,Vinicius Santos,Vinicius,Santos,2010,,t1993
85,Daniele Sottile,Daniele,Sottile,2010,,
86,Bruno Felício de Jesus,Bruno,Jesus,2010,t2579,t1993
87,Rodrigo Moraes,Rodrigo,Moraes,2010,,t1993
88,Thiago Maciel,Thiago,Maciel,2010,t2579,t1454
89,Oleksandr Statsenko,Oleksandr,Statsenko,2010,t1617,
90,Dante Elias Trevisan,Dante,Trevisan,2010,t1517,t1309
91,Robert Szczerbaniuk,Robert,Szczerbaniuk,2010,,
92,Arash Keshavarzi,Arash,Keshavarzi,2010,t1753,t2398
93,Mario Zelić,Mario,Zelić,2010,t1535,t1821
94,Dmitry Shestak,Dmitry,Shestak,2010,t1929,t1472
95,Andrei Spînu,Andrei,Spînu,2010,t1960,t1889
96,Kamil Lewiński,Kamil,Lewiński,2010,t1635,
97,Armin Mustedanović,Armin,Mustedanović,2010,t2969,t2342
98,Niels Klapwijk,Niels,Klapwijk,2010,,
99,Roberto Romiti,Roberto,Romiti,2010,,
100,Alejandro Fernández Rojas,Alejandro,Rojas,2010,t1880,t1431
101,Stanisław Wawrzyńczyk,Stanisław,Wawrzyńczyk,2010,t1300,t1897
102,Kert Toobal,Kert,Toobal,2010,t1504,
103,Milan Bencz,Milan,Bencz,2010,t1836,t2351
104,Vinicius Santos,Vinicius,Santos,2010,,t1993
105,Daniele Sottile,Daniele,Sottile,2010,,
106,Bruno Felício de Jesus,Bruno,Jesus,2010,t2579,t1993
107,Rodrigo Moraes,Rodrigo,Moraes,2010,,t1993
108,Thiago Maciel,Thiago,Maciel,2010,t2579,t1454
109,Oleksandr Statsenko,Oleksandr,Statsenko,2010,t1617,
110,Dante Elias Trevisan,Dante,Trevisan,2010,t1517,t1309
111,Robert Szczerbaniuk,Robert,Szczerbaniuk,2010,,
112,Arash Keshavarzi,Arash,Keshavarzi,2010,t1753,t2398
113,Mario Zelić,Mario,Zelić,2010,t1535,t1821
114,Dmitry Shestak,Dmitry,Shestak,2010,t1929,t1472
115,Andrei Spînu,Andrei,Spînu,2010,t1960,t1889
116,Kamil Lewiński,Kamil,Lewiński,2010,t1635,
117,Armin Mustedanović,Armin,Mustedanović,2010,t2969,t2342
118,Niels Klapwijk,Niels,Klapwijk,2010,,
119,Roberto Romiti,Roberto,Romiti,2010,,
120,Alejandro Fernández Rojas,Alejandro,Rojas,2010,t1880,t1431
121,Stanisław Wawrzyńczyk,Stanisław,Wawrzyńczyk,2010,t1300,t1897
122,Kert Toobal,Kert,Toobal,2010,t1504,
123,Milan Bencz,Milan,Bencz,2010,t1836,t2351
124,Vinicius Santos,Vinicius,Santos,2010,,t1993
125,Daniele Sottile,Daniele,Sottile,2010,,
126,Bruno Felício de Jesus,Bruno,Jesus,2010,t2579,t1993
127,Rodrigo Moraes,Rodrigo,Moraes,2010,,t1993
128,Thiago Maciel,Thiago,Maciel,2010,t2579,t1454
129,Oleksandr Statsenko,Oleksandr,Statsenko,2010,t1617,
130,Dante Elias Trevisan,Dante,Trevisan,2010,t1517,t1309
131,Robert Szczerbaniuk,Robert,Szczerbaniuk,2010,,
132,Arash Keshavarzi,Arash,Keshavarzi,2010,t1753,t2398
133,Mario Zelić,Mario,Zelić,2010,t1535,t1821
134,Dmitry Shestak,Dmitry,Shestak,2010,t1929,t1472
135,Andrei Spînu,Andrei,Spînu,2010,t1960,t1889
136,Kamil Lewiński,Kamil,Lewiński,2010,t1635,
